Long	Lat
145.7529872	-16.91479359
145.7533674	-16.91527651
145.7537018	-16.91564326
145.7543536	-16.91653042
145.7548345	-16.91707061
145.7552356	-16.91748954
145.7553983	-16.91738038
145.7555571	-16.91724867
145.7557678	-16.91709121
145.756055	-16.91692657
145.7563629	-16.91674622
145.7566093	-16.91655563
145.7568872	-16.91629121
145.7566599	-16.91597481
145.756362	-16.91557679
145.7560434	-16.91507044
145.75557	-16.91453886
145.7553197	-16.91417127
145.7550004	-16.91367387
145.7546376	-16.91321955
145.7543751	-16.91324844
145.7540606	-16.91337385
145.7537591	-16.91349543
145.7534148	-16.9136484
145.753156	-16.91381143
145.7529667	-16.91400175
145.7526354	-16.91423923
145.7525712	-16.91424205
145.7525392	-16.91424347
145.7529872	-16.91479359
145.7553987	-16.91353222
145.7558564	-16.91417437
145.7562276	-16.91473961
145.7565139	-16.91518928
145.7569376	-16.91569473
145.7572543	-16.91562999
145.7573364	-16.91557731
145.757517	-16.91559388
145.7577569	-16.91578873
145.7581404	-16.91560052
145.7584502	-16.91540028
145.7586792	-16.91525078
145.7587722	-16.91513182
145.7579204	-16.91468517
145.7572491	-16.91430364
145.7567218	-16.9139711
145.7562119	-16.91364252
145.7557838	-16.91346825
145.7556165	-16.91335242
145.7553987	-16.91353222
145.7574852	-16.91639463
145.7578059	-16.91681508
145.7580337	-16.91709953
145.7582235	-16.91737256
145.7584045	-16.91763313
145.7586383	-16.91796338
145.7588785	-16.91826885
145.7591297	-16.91860656
145.7592589	-16.91876472
145.7596817	-16.91932484
145.759982	-16.91962771
145.7601851	-16.91987993
145.7602724	-16.91993683
145.7604082	-16.92015601
145.7604313	-16.9202936
145.7600185	-16.92064462
145.7603092	-16.92091708
145.760438	-16.92107007
145.7604273	-16.92128052
145.7605478	-16.92138304
145.7612404	-16.9220317
145.7613918	-16.92233341
145.760565	-16.92309614
145.7603085	-16.92333461
145.7604777	-16.92363509
145.7607288	-16.92396673
145.7610258	-16.92423091
145.7612881	-16.92456615
145.761473	-16.92473749
145.7617325	-16.92447549
145.7620039	-16.92433518
145.7622402	-16.92416047
145.7626583	-16.92384358
145.7629013	-16.92363793
145.763095	-16.92348165
145.7632832	-16.92337267
145.7633705	-16.92359131
145.7636872	-16.92400847
145.7640051	-16.9244326
145.7643073	-16.92474261
145.7646007	-16.92467208
145.7648596	-16.92444575
145.7650672	-16.924196
145.7655163	-16.92389295
145.7658396	-16.92355404
145.7656751	-16.92307894
145.7660329	-16.92280564
145.7664585	-16.92250996
145.7666734	-16.92227308
145.7660365	-16.92138871
145.7664482	-16.92076492
145.7667031	-16.92049573
145.765946	-16.91991614
145.76526	-16.91920988
145.7610571	-16.92262091
145.7651508	-16.91901116
145.7647731	-16.91849512
145.7645426	-16.91816437
145.764126	-16.91792781
145.7638442	-16.91771811
145.7635233	-16.91754735
145.7632497	-16.91733729
145.7630761	-16.91726324
145.7629455	-16.91712867
145.7628158	-16.91697196
145.7626462	-16.91684163
145.7624442	-16.91671066
145.76227	-16.91658864
145.762008	-16.91632499
145.7614501	-16.91611732
145.7610996	-16.9158612
145.7608742	-16.91576704
145.7606098	-16.91562634
145.7603514	-16.91546844
145.7601091	-16.91538297
145.7599427	-16.91530675
145.7596715	-16.91514858
145.7595587	-16.91503762
145.7591361	-16.91533858
145.7589756	-16.91551412
145.7587904	-16.91556447
145.7585856	-16.91571772
145.7583355	-16.91585742
145.758146	-16.91598522
145.7579306	-16.91614413
145.7578034	-16.91623296
145.7574852	-16.91639463
145.7610065	-16.91238752
145.7615136	-16.91298536
145.7616658	-16.91348872
145.7616678	-16.91351812
145.7617085	-16.91354549
145.7617485	-16.91356306
145.7617994	-16.91359959
145.7617348	-16.91334671
145.7619825	-16.91391903
145.762438	-16.91447802
145.762864	-16.91490975
145.7630313	-16.91493703
145.7633808	-16.91475809
145.7638093	-16.91441849
145.7637249	-16.91426573
145.7626043	-16.91267222
145.7624786	-16.9125213
145.7622218	-16.91216719
145.761972	-16.91190096
145.7617755	-16.91161693
145.7615855	-16.91133627
145.7613643	-16.91091729
145.761006	-16.91108961
145.7603811	-16.91156565
145.7610065	-16.91238752
145.7660202	-16.91850553
145.7660466	-16.91859181
145.7660942	-16.91867676
145.7661429	-16.91878319
145.7662115	-16.91886654
145.7662587	-16.91895075
145.766327	-16.91903384
145.7663739	-16.91911787
145.766443	-16.91922198
145.7665107	-16.91930431
145.7665772	-16.91936501
145.7666435	-16.9194259
145.7667107	-16.91950755
145.7667988	-16.91958693
145.7668886	-16.91970882
145.7669752	-16.91976776
145.7670417	-16.91984862
145.7671489	-16.91990624
145.767215	-16.91998674
145.7673009	-16.92004515
145.7673667	-16.92012486
145.7674531	-16.92020335
145.76752	-16.92032499
145.7676081	-16.9204651
145.7676516	-16.92052475
145.7677185	-16.92066517
145.7677199	-16.92070604
145.7678063	-16.92082429
145.7678289	-16.92088428
145.7678937	-16.92098256
145.7679572	-16.92103982
145.7680219	-16.92113701
145.7680653	-16.92121499
145.7681284	-16.92127201
145.7682122	-16.92134829
145.7682754	-16.92142539
145.7684003	-16.92153948
145.7684626	-16.92159629
145.7686069	-16.92168828
145.7686877	-16.92166428
145.7687473	-16.92158155
145.7688277	-16.92151778
145.7688878	-16.92145497
145.7689477	-16.92137206
145.769008	-16.92130891
145.7690888	-16.92122435
145.7692313	-16.92115662
145.7693334	-16.92113143
145.7694557	-16.9210649
145.7695372	-16.92100034
145.7695985	-16.92095687
145.7696802	-16.92087193
145.7697415	-16.92080808
145.7698237	-16.92072251
145.7699266	-16.92065614
145.7699885	-16.9205917
145.7700712	-16.9205261
145.7701333	-16.92046142
145.7702163	-16.9203751
145.7703201	-16.92030814
145.770424	-16.9202617
145.7705902	-16.92021191
145.7706942	-16.92018598
145.7707152	-16.92016424
145.7706326	-16.92012694
145.7705502	-16.92006883
145.7704886	-16.91998875
145.7704058	-16.91993042
145.7703646	-16.91986985
145.7703026	-16.91978926
145.7702613	-16.9197074
145.770157	-16.9196496
145.7700735	-16.91956952
145.7700107	-16.91950932
145.7699689	-16.91944794
145.7699059	-16.91938751
145.7698428	-16.91930568
145.7697795	-16.91922364
145.7696739	-16.91916512
145.7695891	-16.91910544
145.7695043	-16.91904543
145.7694195	-16.91898493
145.7694191	-16.91892017
145.7695454	-16.91880602
145.7695875	-16.91873896
145.7696509	-16.91864901
145.7697356	-16.91855785
145.7697993	-16.91851112
145.7698844	-16.91839775
145.7699911	-16.91832676
145.7700553	-16.91825776
145.770141	-16.91816555
145.7702054	-16.91811834
145.7703129	-16.91802475
145.7703562	-16.91795617
145.7703568	-16.91786748
145.7703574	-16.9177786
145.7703147	-16.9176919
145.7702505	-16.91760585
145.7702077	-16.91754081
145.7701433	-16.91743182
145.7700787	-16.91734489
145.7699923	-16.91721348
145.7699272	-16.91714873
145.7698403	-16.91703944
145.7697966	-16.91695042
145.7697093	-16.91688627
145.7696216	-16.9167761
145.7695336	-16.91666557
145.7694236	-16.91657888
145.7693132	-16.91649201
145.7691803	-16.91638293
145.7691358	-16.91633874
145.7690467	-16.91625017
145.7690017	-16.9161824
145.7688699	-16.91621199
145.7687393	-16.91631177
145.7686957	-16.91633724
145.7686082	-16.91636492
145.7685212	-16.91641575
145.7683469	-16.91649411
145.7682163	-16.91654717
145.7681298	-16.91659797
145.7680214	-16.91664986
145.7679371	-16.91676942
145.7678947	-16.91681756
145.7678108	-16.91693618
145.7676843	-16.91707976
145.7676011	-16.91719793
145.7673687	-16.91739059
145.7672855	-16.91748496
145.7671404	-16.91764976
145.7670568	-16.91772125
145.7669724	-16.9177701
145.7668255	-16.91786676
145.766763	-16.91791452
145.7666596	-16.91800875
145.7665769	-16.91807962
145.7664944	-16.91815056
145.7663918	-16.9182445
145.7663108	-16.91833682
145.7662276	-16.91838504
145.7661672	-16.91845403
145.7660202	-16.91850553
