Day	GID	Lat	Long	NoMozzie	NoFemale	NoMale
8	36085	-16.92348	145.76057	142.4	81.18	61.22
8	36077	-16.92371	145.76065	142.4	81.18	61.22
8	38003	-16.9245	145.76136	142.4	81.18	61.22
8	900007	-16.92432	145.76137	142.4	81.18	61.22
8	49437	-16.92381	145.76111	142.4	81.18	61.22
8	900006	-16.92348	145.76082	142.4	81.18	61.22
8	555	-16.923	145.76097	142.4	81.18	61.22
8	559	-16.92343	145.76134	142.4	81.18	61.22
8	563	-16.92386	145.76171	142.4	81.18	61.22
8	566	-16.92418	145.76199	142.4	81.18	61.22
8	571	-16.9236	145.76181	142.4	81.18	61.22
8	575	-16.92317	145.76144	142.4	81.18	61.22
8	567	-16.92274	145.76108	142.4	81.18	61.22
8	596	-16.92279	145.76169	142.4	81.18	61.22
8	600	-16.92322	145.76206	142.4	81.18	61.22
8	583	-16.92329	145.76244	142.4	81.18	61.22
8	586	-16.92296	145.76217	142.4	81.18	61.22
8	590	-16.92253	145.7618	142.4	81.18	61.22
8	27703	-16.92186	145.76114	142.4	81.18	61.22
8	27168	-16.92144	145.76078	142.4	81.18	61.22
8	26625	-16.92089	145.76031	142.4	81.18	61.22
8	26194	-16.92066	145.76012	142.4	81.18	61.22
8	18689	-16.91548	145.75899	142.4	81.18	61.22
8	15408	-16.91579	145.75853	142.4	81.18	61.22
8	13843	-16.91631	145.75805	142.4	81.18	61.22
8	20040	-16.91655	145.75782	142.4	81.18	61.22
8	20412	-16.91685	145.75804	142.4	81.18	61.22
8	20497	-16.91709	145.7581	142.4	81.18	61.22
8	442	-16.91744	145.75848	142.4	81.18	61.22
8	445	-16.91786	145.75879	142.4	81.18	61.22
8	421	-16.91809	145.75884	142.4	81.18	61.22
8	501	-16.919	145.75951	142.4	81.18	61.22
8	497	-16.91946	145.7599	142.4	81.18	61.22
8	459	-16.91978	145.76017	142.4	81.18	61.22
8	900014	-16.92032	145.76075	142.4	81.18	61.22
8	66093	-16.92098	145.76157	142.4	81.18	61.22
8	607	-16.92203	145.76215	142.4	81.18	61.22
8	611	-16.92241	145.76259	142.4	81.18	61.22
8	617	-16.92319	145.76307	142.4	81.18	61.22
8	619	-16.92303	145.76327	142.4	81.18	61.22
8	620	-16.92269	145.76295	142.4	81.18	61.22
8	613	-16.92258	145.76273	142.4	81.18	61.22
8	609	-16.92224	145.76244	142.4	81.18	61.22
8	14069	-16.92125	145.76209	142.4	81.18	61.22
8	670	-16.92185	145.76281	142.4	81.18	61.22
8	626	-16.92237	145.7633	142.4	81.18	61.22
8	629	-16.92258	145.76347	142.4	81.18	61.22
8	635	-16.92267	145.76373	142.4	81.18	61.22
8	654	-16.92235	145.76377	142.4	81.18	61.22
8	660	-16.92193	145.76341	142.4	81.18	61.22
8	664	-16.92165	145.76317	142.4	81.18	61.22
8	668	-16.9214	145.76281	142.4	81.18	61.22
8	3841	-16.9206	145.76172	142.4	81.18	61.22
8	900011	-16.92035	145.76151	142.4	81.18	61.22
8	65891	-16.91991	145.76108	142.4	81.18	61.22
8	463	-16.91955	145.76046	142.4	81.18	61.22
8	466	-16.91938	145.76068	142.4	81.18	61.22
8	471	-16.91909	145.76104	142.4	81.18	61.22
8	476	-16.91893	145.76144	142.4	81.18	61.22
8	21367	-16.91924	145.76197	142.4	81.18	61.22
8	900003	-16.91949	145.76176	142.4	81.18	61.22
8	900012	-16.91997	145.76198	142.4	81.18	61.22
8	64294	-16.92018	145.76224	142.4	81.18	61.22
8	671	-16.92151	145.76363	142.4	81.18	61.22
8	900000	-16.92229	145.76444	142.4	81.18	61.22
8	674	-16.92189	145.76423	142.4	81.18	61.22
8	644	-16.92179	145.76402	142.4	81.18	61.22
8	900002	-16.92123	145.76354	142.4	81.18	61.22
8	653	-16.92095	145.7633	142.4	81.18	61.22
8	23704	-16.92018	145.76249	142.4	81.18	61.22
8	23626	-16.91981	145.76233	142.4	81.18	61.22
8	486	-16.91883	145.76069	142.4	81.18	61.22
8	490	-16.91906	145.7604	142.4	81.18	61.22
8	494	-16.91929	145.76012	142.4	81.18	61.22
8	504	-16.91883	145.75973	142.4	81.18	61.22
8	508	-16.9186	145.76001	142.4	81.18	61.22
8	511	-16.91832	145.76037	142.4	81.18	61.22
8	522	-16.918	145.7601	142.4	81.18	61.22
8	900005	-16.91828	145.75974	142.4	81.18	61.22
8	415	-16.91766	145.75944	142.4	81.18	61.22
8	900013	-16.91697	145.75893	142.4	81.18	61.22
8	414	-16.91743	145.75972	142.4	81.18	61.22
8	448	-16.91644	145.7597	142.4	81.18	61.22
8	544	-16.91724	145.75871	142.4	81.18	61.22
8	52494	-16.91677	145.75856	142.4	81.18	61.22
8	429	-16.91625	145.75933	142.4	81.18	61.22
8	432	-16.91594	145.75922	142.4	81.18	61.22
8	67313	-16.91856	145.76288	142.4	81.18	61.22
8	19589	-16.91877	145.76254	142.4	81.18	61.22
8	24549	-16.91907	145.76268	142.4	81.18	61.22
8	25041	-16.91935	145.76292	142.4	81.18	61.22
8	40148	-16.91891	145.76321	142.4	81.18	61.22
8	900001	-16.91984	145.76333	142.4	81.18	61.22
8	900015	-16.91987	145.76366	142.4	81.18	61.22
8	24999	-16.9197	145.76406	142.4	81.18	61.22
8	28260	-16.9189	145.76495	142.4	81.18	61.22
8	65139	-16.91958	145.76568	142.4	81.18	61.22
8	900008	-16.91972	145.76511	142.4	81.18	61.22
8	11346	-16.92003	145.76454	142.4	81.18	61.22
8	26628	-16.92089	145.76428	142.4	81.18	61.22
8	26692	-16.92103	145.7644	142.4	81.18	61.22
8	27258	-16.92145	145.76476	142.4	81.18	61.22
8	10572	-16.92181	145.76482	142.4	81.18	61.22
8	11827	-16.9202	145.76456	142.4	81.18	61.22
8	14908	-16.92041	145.76474	142.4	81.18	61.22
8	25076	-16.92115	145.76525	142.4	81.18	61.22
8	14543	-16.92137	145.76537	142.4	81.18	61.22
8	7450	-16.91939	145.76392	142.4	81.18	61.22
8	5063	-16.91917	145.76374	142.4	81.18	61.22
8	900009	-16.91854	145.7632	142.4	81.18	61.22
8	45879	-16.91506	145.75961	142.4	81.18	61.22
8	46246	-16.91532	145.76009	142.4	81.18	61.22
8	47652	-16.9156	145.76058	142.4	81.18	61.22
8	1835	-16.91831	145.7639	142.4	81.18	61.22
8	67089	-16.91863	145.76443	142.4	81.18	61.22
8	14044	-16.91992	145.76536	142.4	81.18	61.22
8	58571	-16.92025	145.76576	142.4	81.18	61.22
8	21623	-16.92062	145.76595	142.4	81.18	61.22
8	900010	-16.92062	145.76626	142.4	81.18	61.22
15	36083	-16.92353	145.76051	49.9	30.2	19.7
15	36075	-16.92376	145.7607	99.8	60.4	39.4
15	49429	-16.92399	145.76087	49.9	30.2	19.7
15	2640	-16.92416	145.76114	99.8	60.4	39.4
15	38067	-16.92461	145.76146	49.9	30.2	19.7
15	8525	-16.92413	145.7614	99.8	60.4	39.4
15	44074	-16.92359	145.76091	49.9	30.2	19.7
15	554	-16.92289	145.76089	99.8	60.4	39.4
15	558	-16.92332	145.76125	49.9	30.2	19.7
15	562	-16.92376	145.76162	99.8	60.4	39.4
15	565	-16.92408	145.7619	49.9	30.2	19.7
15	569	-16.92382	145.762	99.8	60.4	39.4
15	573	-16.92339	145.76163	49.9	30.2	19.7
15	578	-16.92284	145.76117	99.8	60.4	39.4
15	594	-16.92257	145.76151	49.9	30.2	19.7
15	598	-16.92301	145.76188	99.8	60.4	39.4
15	604	-16.92366	145.76243	49.9	30.2	19.7
15	900019	-16.9234	145.76254	99.8	60.4	39.4
15	587	-16.92285	145.76207	49.9	30.2	19.7
