"GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop"
427,"-16.91646","145.75903","PP22",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",5,0,,,,,,,,
626,"-16.92237","145.7633","PP07",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",4,4,,,,,,,,
602,"-16.92344","145.76225","PP09",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",4,6,,,,,,,,
26687,"-16.92112","145.76051","PP12",0.00,10/10/2012 0:00:00,16/10/2012 0:00:00,"Fail",0,0,,,,,,,,
12036,"-16.92137","145.76194","PP13",0.00,11/10/2012 0:00:00,16/10/2012 0:00:00,"OK",10,6,,,,,,,,
6511,"-16.92036","145.76231","PP14",0.00,10/10/2012 0:00:00,16/10/2012 0:00:00,"OK",10,10,,,,,,,,
478,"-16.91868","145.76137","PP17",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",3,0,,,,,,,,
507,"-16.91866","145.75994","PP19",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",6,0,,,,,,,,
651,"-16.92109","145.76342","PP06",0.00,11/10/2012 0:00:00,16/10/2012 0:00:00,"OK",5,4,,,,,,,,
35627,"-16.91646","145.75845","PP21",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",1,0,,,,,,,,
619,"-16.92303","145.76327","PP08",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"Fail",,,,,,,,,,
450,"-16.91655","145.75955","PP23",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",30,3,,,,,,,,
47457,"-16.91626","145.76032","PP24",0.00,5/10/2012 0:00:00,16/10/2012 0:00:00,"OK",12,4,,,,,,,,
22950,"-16.91897","145.76313","PP25",0.00,10/10/2012 0:00:00,16/10/2012 0:00:00,"OK",9,4,,,,,,,,
67089,"-16.91863","145.76443","PP26",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",10,0,,,,,,,,
21693,"-16.91975","145.76381","PP27",0.00,10/10/2012 0:00:00,16/10/2012 0:00:00,"OK",1,0,,,,,,,,
55377,"-16.91715","145.76301","PP28",0.00,9/10/2012 0:00:00,16/10/2012 0:00:00,"OK",0,0,,,,,,,,
