"","GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop","DayDeployed","DayCollected","DaysActive"
"1",47501,-16.91546,145.76033,"PP30",0,2012-12-18,2013-01-02,TRUE,7,0,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"2",507,-16.91866,145.75994,"PP19",0,2012-12-18,2013-01-02,TRUE,8,6,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"3",623,-16.92215,145.76311,"PP31",0,2012-12-18,2013-01-02,TRUE,10,7,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"4",53343,-16.91735,145.76202,"PP29",0,2012-12-18,2013-01-02,TRUE,3,4,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"5",900029,-16.91801,145.76245,"PP44",0,2012-12-18,2013-01-02,TRUE,19,13,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"6",13424,-16.91982,145.7657,"PP02",0,2012-12-18,2013-01-02,TRUE,27,1,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"7",44074,-16.92359,145.76091,"PP15-1",0,2012-12-18,2013-01-02,TRUE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"8",35611,-16.92006,145.76126,"PP16",0,2012-12-18,2013-01-02,TRUE,3,1,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"9",6511,-16.92036,145.76231,"PP14",0,2012-12-18,2013-01-02,TRUE,25,27,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"10",12036,-16.92137,145.76194,"PP13",0,2012-12-18,2013-01-02,TRUE,13,6,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"11",26687,-16.92112,145.76051,"PP12",0,2012-12-18,2013-01-02,TRUE,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"12",23463,-16.91717,145.76106,"PP11-1",0,2012-12-18,2013-01-02,TRUE,10,4,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"13",573,-16.92339,145.76163,"PP10",0,2012-12-18,2013-01-02,TRUE,8,9,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"14",602,-16.92344,145.76225,"PP09",0,2012-12-18,2013-01-02,TRUE,11,7,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"15",619,-16.92303,145.76327,"PP08",0,2012-12-18,2013-01-02,TRUE,6,1,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"16",626,-16.92237,145.7633,"PP07",0,2012-12-18,2013-01-02,TRUE,7,6,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"17",651,-16.92109,145.76342,"PP06",0,2012-12-18,2013-01-02,TRUE,4,4,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"18",643,-16.92186,145.76408,"PP05",0,2012-12-18,2013-01-02,TRUE,17,14,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"19",35627,-16.91646,145.75845,"PP21",0,2012-12-18,2013-01-02,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"20",23970,-16.9205,145.7664,"PP01",0,2012-12-18,2013-01-02,TRUE,4,0,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"21",478,-16.91868,145.76137,"PP17",0,2012-12-18,2013-01-02,TRUE,12,0,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"22",494,-16.91929,145.76012,"PP18",0,2012-12-18,2013-01-02,TRUE,22,38,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"23",435,-16.91749,145.75932,"PP20-1",0,2012-12-18,2013-01-02,TRUE,27,20,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"24",427,-16.91646,145.75903,"PP22",0,2012-12-18,2013-01-02,TRUE,4,2,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"25",47457,-16.91626,145.76032,"PP24",0,2012-12-18,2013-01-02,TRUE,7,0,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
"26",22950,-16.91897,145.76313,"PP25",0,2012-12-18,2013-01-02,TRUE,47,7,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,15
