2013 Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
1st 32.8 34.1 32.3 29.7 29.5 27.6 24.6 26.5 29.0 30.6 31.5 32.5
2nd 33.3 36.0 31.1 30.3 28.6 27.3 25.2 26.7 29.1 31.3 29.5 29.6
3rd 33.8 35.2 31.9 31.0 28.3 27.7 26.9 26.4 26.9 29.5 30.1 30.7
4th 32.9 33.6 31.7 30.8 28.8 26.6 24.9 27.8 27.3 30.7 30.3 30.5
5th 32.7 33.2 33.7 28.0 28.1 27.8 27.9 27.5 27.3 31.1 30.4 29.1
6th 32.3 32.9 32.0 28.6 27.2 26.9 27.7 27.1 27.3 30.2 30.3 30.2
7th 31.6 32.9 31.6 30.0 27.6 26.9 29.2 27.2 27.4 29.1 30.1 31.6
8th 31.7 32.9 31.1 28.2 25.0 27.1 27.6 26.6 27.7 31.0 30.6 31.9
9th 31.6 32.6 30.1 26.5 23.8 26.7 24.2 27.2 27.5 32.0 31.1 31.5
10th 32.1 31.8 30.4 28.5 28.0 27.5 26.1 27.2 28.3 31.0 30.4 30.6
11th 31.7 32.4 31.5 26.5 27.5 26.8 26.4 28.0 29.2 30.6 32.2 30.4
12th 33.6 31.8 30.3 28.6 28.0 28.2 26.6 28.3 28.8 30.4 30.6 29.4
13th 33.1 32.6 27.7 29.8 28.5 28.8 25.8 27.4 27.6 31.5 31.1 29.9
14th 31.1 32.1 30.3 30.2 28.8 28.8 26.6 27.5 28.8 31.1 29.9 30.9
15th 32.8 32.7 31.6 30.3 28.7 27.0 26.8 27.6 28.9 31.4 30.2 32.7
16th 30.1 32.2 31.8 29.2 29.0 25.5 26.7 29.2 28.4 31.3 29.9 30.5
17th 32.3 32.2 30.1 30.6 27.6 27.3 26.8 29.0 28.2 28.9 30.1 31.3
18th 31.2 31.1 32.6 30.8 29.1 27.4 25.3 28.9 29.1 30.2 30.6 31.7
19th 27.5 32.0 32.0 29.9 26.6 27.1 26.1 27.8 28.8 31.6 31.5 31.5
20th 31.1 32.6 31.2 28.4 29.1 26.8 26.8 28.0 28.3 31.0 31.0 30.7
21st 31.2 32.3 31.1 29.2 28.8 25.0 27.6 27.9 29.1 31.0 31.3 31.3
22nd 27.8 32.1 28.9 29.8 28.3 25.9 27.6 28.4 28.9 28.6 30.8 31.3
23rd 29.4 31.5 28.4 30.3 28.4 25.8 27.5 27.6 29.1 30.5 30.8 29.0
24th 31.8 30.6 30.4 30.3 24.4 26.7 23.8 27.9 29.3 29.2 29.5 32.0
25th 36.0 31.4 31.0 30.9 25.3 25.6 25.0 28.0 28.3 30.0 30.1 30.4
26th 36.1 31.3 30.7 30.9 26.7 26.4 25.3 28.3 28.8 32.0 31.0 32.2
27th 37.4 33.4 30.9 29.0 26.6 26.4 25.7 28.7 29.2 31.0 32.5 31.2
28th 37.1 32.2 29.8 29.4 27.0 26.7 27.6 29.0 29.6 31.2 28.6 31.3
29th 38.6 -1 29.9 28.3 27.2 27.1 26.6 29.0 29.7 30.3 29.8 31.5
30th 35.7 -1 30.1 28.5 27.7 26.6 27.1 28.6 30.5 29.4 30.6 32.0
31st 32.6 -1 29.5 -1 27.4 -1 26.9 29.2 -1 29.9 -1 31.7 
