2013 Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
1st 23.2 25.9 25.8 20.4 23.5 20.7 15.3 15.0 20.6 21.4 21.6 24.8
2nd 24.2 25.9 25.1 21.1 22.2 20.0 10.0 13.5 20.9 20.9 22.5 24.7
3rd 23.2 22.6 25.9 23.0 21.8 16.4 10.7 16.8 19.2 20.8 21.4 22.7
4th 23.8 24.1 24.5 22.4 22.4 19.9 19.5 15.4 19.0 20.3 19.9 22.2
5th 23.0 26.0 24.2 22.1 20.8 20.0 19.1 13.6 18.2 21.3 18.9 18.9
6th 23.9 23.9 25.2 21.9 20.1 20.7 20.8 13.0 18.0 21.9 23.2 19.4
7th 23.5 24.1 24.8 22.0 20.4 20.8 22.3 12.2 18.8 19.1 22.8 24.2
8th 22.7 23.1 24.4 23.1 20.5 20.6 22.3 11.9 19.2 16.0 22.3 24.5
9th 23.6 23.7 23.2 23.1 21.4 20.5 20.1 11.0 18.7 15.5 20.8 23.2
10th 22.5 24.0 23.4 22.6 21.6 20.7 19.3 12.8 19.8 23.3 20.1 20.5
11th 24.1 25.4 24.2 21.6 20.6 20.9 19.8 17.0 16.8 21.3 20.5 20.2
12th 25.3 24.2 22.9 22.6 21.8 19.1 19.8 15.5 17.8 17.0 24.2 24.4
13th 24.7 23.5 22.7 22.0 21.0 22.3 19.4 15.8 15.4 20.4 24.1 23.4
14th 21.4 23.7 22.9 21.5 20.2 18.7 19.1 14.9 17.6 24.7 24.1 24.0
15th 21.8 23.8 19.9 21.8 20.2 19.9 19.4 14.4 17.8 24.0 23.1 24.3
16th 23.6 23.6 19.3 21.6 20.2 17.0 19.0 16.7 18.3 24.0 22.3 23.6
17th 22.8 24.6 20.0 20.0 22.3 20.5 19.9 19.2 18.0 21.9 24.3 22.4
18th 22.0 25.1 19.4 20.6 22.0 17.3 20.5 17.3 22.8 23.2 22.3 24.7
19th 23.7 24.7 23.0 20.5 23.0 17.5 21.1 16.8 19.7 22.9 22.8 22.9
20th 23.8 25.0 23.3 19.8 21.7 20.5 19.4 16.4 17.2 22.5 23.4 23.1
21st 24.2 25.4 23.7 20.4 22.2 20.0 17.8 17.0 17.9 22.2 24.2 22.7
22nd 23.8 24.0 25.1 22.6 21.3 19.8 19.3 19.8 17.6 21.0 22.2 22.2
23rd 24.7 23.5 24.0 21.5 20.9 19.4 19.1 19.5 18.5 22.1 24.4 22.8
24th 25.2 22.9 24.7 20.9 22.0 20.3 19.6 19.0 18.4 20.9 24.2 20.5
25th 24.2 23.6 24.8 21.8 18.0 16.7 16.8 16.6 16.1 19.6 23.7 21.2
26th 26.8 23.3 24.7 21.6 15.9 14.7 19.4 17.7 16.6 21.9 23.4 23.7
27th 28.4 24.6 23.8 22.3 20.3 15.8 18.2 19.6 16.3 22.0 24.6 19.3
28th 25.6 24.3 22.4 22.8 19.2 18.4 19.3 17.8 17.5 22.1 25.3 19.9
29th 24.4 -1 22.6 22.0 19.7 17.8 19.4 16.4 19.1 22.0 24.5 21.8
30th 24.9 -1 21.8 23.0 20.5 16.8 19.0 18.8 20.2 19.1 25.0 19.9
31st 24.8 -1 22.3 -1 20.6 -1 15.6 19.5 -1 19.6 -1 21.2 
