 2012 Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
 1st 30.6 31.7 30.5 31.5 29.5 23.5 27.1 24.9 29.4 29.4 32.0 32.4
 2nd 31.5 30.8 30.5 30.3 29.4 24.1 26.6 25.6 28.2 30.6 30.2 32.8
 3rd 30.7 32.7 31.3 30.6 29.7 26.4 25.0 26.4 28.1 27.7 30.4 30.3
 4th 31.3 30.2 32.5 31.5 30.1 25.9 23.0 25.5 28.3 28.3 31.9 30.9
 5th 33.2 32.8 31.1 31.4 29.6 25.5 24.0 26.1 24.9 29.2 32.7 32.6
 6th 30.1 34.3 33.0 30.3 29.4 24.1 22.2 27.0 29.1 27.9 31.6 32.5
 7th 30.8 34.9 31.3 30.6 29.4 23.6 24.7 27.0 29.7 29.2 31.7 34.3
 8th 31.4 33.2 31.4 31.0 29.3 25.4 24.7 26.7 30.4 27.9 31.0 33.3
 9th 30.7 33.6 32.3 31.0 29.0 26.3 24.0 26.5 28.4 29.0 29.5 32.8
 10th 30.7 32.7 29.8 30.8 29.2 25.9 26.0 27.1 28.0 29.3 28.8 32.9
 11th 31.2 32.1 27.0 29.0 29.1 25.6 25.7 23.9 27.2 31.1 32.3 32.1
 12th 31.1 32.6 28.5 25.4 27.8 25.0 29.8 24.5 29.0 30.3 30.3 32.3
 13th 31.3 32.1 26.1 28.4 29.0 24.4 27.8 24.9 29.4 30.1 29.8 34.0
 14th 30.6 32.6 29.7 26.5 29.2 25.3 28.5 25.7 28.4 29.9 31.6 32.6
 15th 32.0 33.4 28.8 28.5 28.2 26.0 26.4 26.5 29.8 29.9 31.0 32.3
 16th 31.0 31.4 29.4 26.1 27.5 26.9 25.4 27.2 28.7 30.1 30.4 31.3
 17th 31.4 31.9 28.1 29.9 29.2 27.7 26.6 28.7 28.5 30.4 30.2 32.2
 18th 31.0 32.6 28.3 29.7 27.9 26.5 27.9 28.5 28.3 30.4 30.6 31.7
 19th 31.4 32.6 27.8 30.4 27.8 25.0 27.7 27.6 29.9 28.5 33.1 32.2
 20th 32.8 30.1 29.5 30.4 28.4 25.2 25.9 25.6 31.5 30.3 31.1 32.6
 21st 29.8 29.9 31.7 30.1 25.3 27.1 23.7 26.9 30.0 31.5 31.3 33.4
 22nd 32.4 31.3 34.3 30.8 27.8 27.3 25.0 26.7 28.6 32.1 31.5 34.3
 23rd 31.2 32.2 31.0 30.0 24.9 26.2 24.9 29.2 28.8 30.4 31.2 33.3
 24th 30.7 32.1 31.7 29.7 27.6 26.3 26.4 29.9 29.1 28.3 31.9 32.9
 25th 30.7 32.4 32.6 30.2 21.9 26.6 26.8 29.5 29.8 30.0 32.5 34.3
 26th 30.8 30.2 25.9 30.0 23.7 27.4 26.9 29.7 30.2 29.2 32.1 32.7
 27th 31.4 28.0 28.8 30.1 22.7 27.8 26.6 29.6 30.0 29.1 33.0 34.4
 28th 32.4 31.0 29.6 28.9 24.0 27.2 24.1 29.8 28.2 30.8 31.6 34.0
 29th 34.7 30.7 30.3 29.9 26.2 27.1 24.6 28.8 29.0 31.2 33.1 34.0
 30th 34.1 -1 30.9 27.7 24.1 28.0 24.9 28.8 28.0 31.9 29.6 34.4
 31st 33.3 -1 31.5 -1 23.9 -1 26.2 29.0 -1 32.2 -1 31.1
