2012 Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
 1st 24.2 25.4 24.4 18.8 22.7 21.1 21.8 16.0 18.6 20.5 22.2 23.9
 2nd 23.3 24.7 24.6 18.7 22.6 21.0 18.3 13.1 21.0 21.9 18.4 21.4
 3rd 21.3 25.2 24.0 17.5 22.2 16.9 18.9 12.2 17.8 20.8 17.5 19.6
 4th 21.9 23.8 24.3 17.3 20.2 18.1 15.9 15.4 18.7 20.3 22.7 20.6
 5th 21.8 22.4 22.8 18.0 18.0 16.7 13.2 12.8 19.1 20.3 23.5 22.5
 6th 19.6 25.1 24.5 21.1 18.2 14.9 18.6 14.7 18.1 21.1 22.2 24.4
 7th 21.4 24.7 23.3 20.9 18.3 13.1 19.2 14.0 15.8 20.2 21.4 26.2
 8th 23.1 25.2 24.6 21.1 22.2 13.9 19.8 19.0 17.2 16.6 21.7 24.2
 9th 22.9 23.6 24.2 19.6 21.6 13.5 19.4 19.2 20.1 17.4 18.8 24.0
 10th 22.8 24.5 24.2 19.7 22.5 13.8 21.0 13.1 17.1 17.7 20.0 24.4
 11th 23.7 24.5 23.5 23.5 22.2 15.0 21.5 15.5 21.0 20.0 22.0 22.8
 12th 22.9 23.3 23.0 22.1 21.6 13.1 21.7 9.8 19.8 20.9 23.0 23.3
 13th 23.1 23.6 23.5 21.9 22.2 11.9 20.0 12.2 20.1 22.3 21.2 22.8
 14th 24.9 23.9 23.4 22.4 19.8 11.4 22.6 12.0 19.3 22.7 22.0 23.1
 15th 25.5 24.6 23.3 23.6 20.3 13.5 22.7 17.9 16.9 19.4 21.6 18.3
 16th 23.2 24.6 23.8 22.6 17.4 15.2 19.9 17.3 19.4 21.6 20.4 19.6
 17th 23.4 23.2 24.3 22.5 18.1 15.2 19.3 15.8 20.4 21.2 21.2 21.7
 18th 24.3 24.5 24.0 23.4 20.8 16.5 20.1 15.5 19.9 20.4 23.1 21.6
 19th 23.3 24.7 24.4 21.8 19.7 15.8 17.3 14.4 18.1 21.2 23.7 21.5
 20th 22.6 23.1 24.6 23.0 19.9 13.3 19.6 20.6 18.7 19.9 21.6 23.4
 21st 23.5 24.3 25.4 22.9 20.5 15.5 15.5 19.7 18.9 19.9 25.2 22.6
 22nd 24.8 23.0 24.7 18.6 20.2 16.4 15.0 21.4 16.4 23.3 24.7 25.4
 23rd 23.4 24.8 24.0 18.9 21.6 20.2 19.0 22.2 18.1 18.6 21.7 24.3
 24th 23.8 23.8 24.0 17.4 21.9 17.4 15.9 20.9 18.1 22.1 20.9 24.3
 25th 22.9 24.7 23.8 18.3 19.6 18.4 19.3 20.0 16.8 21.0 20.7 24.4
 26th 24.4 23.8 24.2 22.1 18.9 20.7 16.3 19.2 17.6 18.1 24.4 24.2
 27th 24.8 23.8 22.5 23.5 18.6 21.0 15.5 17.7 22.2 17.4 23.4 23.7
 28th 25.3 23.6 21.8 22.9 19.3 20.9 16.1 20.0 20.7 20.0 22.5 24.8
 29th 24.2 23.8 22.5 22.8 18.9 21.1 12.1 19.4 18.9 22.8 23.0 23.7
 30th 25.9 -1 20.9 23.6 20.4 18.8 11.8 19.4 22.5 22.0 24.8 24.6
 31st 25.8 -1 19.6 -1 20.5 -1 11.8 17.3 -1 21.6 -1 23.3
