_id,_action,_visible,_lat,_lon
-127202,modify,true,-16.91412328842,145.75284555626
-127203,modify,true,-16.91431830049,145.75298785228
-127205,modify,true,-16.91451699182,145.75311476495
-127208,modify,true,-16.91473408025,145.75328013601
-127209,modify,true,-16.91486654087,145.7534685821
-127211,modify,true,-16.9150505138,145.7536185698
-127213,modify,true,-16.91521976873,145.75377240334
-127215,modify,true,-16.91532647285,145.75386085763
-127218,modify,true,-16.91513882074,145.75496461328
-127219,modify,true,-16.91541477966,145.75512229266
-127221,modify,true,-16.91525656326,145.75521459279
-127240,modify,true,-16.911558677,145.75689522422
-127241,modify,true,-16.91184200021,145.75709520782
-127243,modify,true,-16.9123129781,145.75744902496
-127245,modify,true,-16.91240128633,145.75751440422
-127248,modify,true,-16.91335059712,145.75903351043
-127249,modify,true,-16.9132806868,145.75914888559
-127251,modify,true,-16.9131261481,145.75939886509
-127253,modify,true,-16.91307095568,145.75945655267
-127266,modify,true,-16.91180520501,145.7589604395
-127267,modify,true,-16.91193398817,145.75907581466
-127269,modify,true,-16.91209220736,145.75918349814
-127271,modify,true,-16.91229090104,145.75932579416
-127273,modify,true,-16.91249327402,145.75947193602
-127275,modify,true,-16.91262941571,145.75957192783
-127277,modify,true,-16.91272140329,145.75959500286
-127280,modify,true,-16.91144093217,145.75816435093
-127281,modify,true,-16.91161386987,145.75832972198
-127283,modify,true,-16.91162490844,145.758591239
-127286,modify,true,-16.91100674746,145.75791052559
-127287,modify,true,-16.91109873583,145.7579220631
-127289,modify,true,-16.91116496743,145.75796052149
-127292,modify,true,-16.9113783802,145.75735672484
-127293,modify,true,-16.91147404791,145.75743364161
-127295,modify,true,-16.91174265316,145.75763362521
-127297,modify,true,-16.91188615444,145.75774130869
-127299,modify,true,-16.9120517327,145.75788745055
-127302,modify,true,-16.91158811504,145.75666062999
-127303,modify,true,-16.91164514766,145.75659717365
-127305,modify,true,-16.91176841165,145.75661832577
-127307,modify,true,-16.91188983579,145.75670485713
-127309,modify,true,-16.9119523876,145.75674908428
-127312,modify,true,-16.91280235416,145.76086990025
-127313,modify,true,-16.91293665589,145.76079875224
-127315,modify,true,-16.91305991903,145.76088143776
-127317,modify,true,-16.91311327171,145.76093912534
-127320,modify,true,-16.9132034193,145.76122371739
-127321,modify,true,-16.91328620787,145.76130255708
-127323,modify,true,-16.91339659258,145.76136793634
-127325,modify,true,-16.91345914388,145.76138716553
-127328,modify,true,-16.91361184256,145.76129294248
-127329,modify,true,-16.91354561182,145.76125063826
-127331,modify,true,-16.91348122081,145.76117756733
-127334,modify,true,-16.91340027207,145.76088720652
-127335,modify,true,-16.91338187462,145.76099489
-127337,modify,true,-16.91335427845,145.76112949435
-127340,modify,true,-16.91381053464,145.76141216348
-127341,modify,true,-16.91390252164,145.76152946155
-127343,modify,true,-16.91410857236,145.76158907205
-127345,modify,true,-16.91414168763,145.76161599292
-127348,modify,true,-16.91395035486,145.76166598882
-127349,modify,true,-16.91433485994,145.76173905975
-127350,modify,true,-16.91452619232,145.76181597652
-127352,modify,true,-16.91463289684,145.76195058087
-127355,modify,true,-16.91646894087,145.76139101137
-127356,modify,true,-16.9164983763,145.76139293429
-127359,modify,true,-16.9165296496,145.76103334646
-127360,modify,true,-16.91766658937,145.7616563723
-127361,modify,true,-16.917482619,145.76179482249
-127364,modify,true,-16.91718826603,145.76136793441
-127365,modify,true,-16.91953203879,145.76013342025
-127366,modify,true,-16.91936278773,145.76034494137
-127369,modify,true,-16.91868946136,145.76114102994
-127370,modify,true,-16.9187777666,145.76116025913
-127372,modify,true,-16.9189433388,145.76101027143
-127374,modify,true,-16.91902428516,145.7608872046
-127377,modify,true,-16.91817434667,145.76021033702
-127378,modify,true,-16.91810443813,145.76033340385
-127380,modify,true,-16.91799037679,145.76046416236
-127383,modify,true,-16.91886238873,145.76307932871
-127384,modify,true,-16.91982638442,145.76349467927
-127385,modify,true,-16.91967185109,145.76359467107
-127387,modify,true,-16.91958354628,145.76377157964
-127389,modify,true,-16.91949524142,145.76374081293
-127392,modify,true,-16.91963505742,145.76458689741
-127393,modify,true,-16.92293174157,145.76381003803
-127394,modify,true,-16.9227845694,145.76397925492
-127397,modify,true,-16.92104057044,145.75988728274
-127398,modify,true,-16.92121717867,145.75999496622
-127400,modify,true,-16.92138642806,145.7601334164
-127402,modify,true,-16.92168077447,145.76042570013
-127404,modify,true,-16.92179115425,145.76056415032
-127406,modify,true,-16.92197512042,145.76074105889
-127408,modify,true,-16.92209285867,145.76083335901
-127411,modify,true,-16.92065056003,145.76044877516
-127412,modify,true,-16.92082716862,145.76064875876
-127414,modify,true,-16.92099641836,145.76067952547
-127417,modify,true,-16.92015752684,145.76031032497
-127418,modify,true,-16.92388835786,145.7632485456
-127419,modify,true,-16.92404288773,145.76341007082
-127421,modify,true,-16.92415326613,145.76347929591
-127424,modify,true,-16.92445496676,145.76342545417
-127425,modify,true,-16.92459477908,145.76312547877
-127427,modify,true,-16.92440345693,145.76282550337
-127430,modify,true,-16.92469044009,145.76180251032
-127431,modify,true,-16.9246168547,145.76191788548
-127433,modify,true,-16.9244770424,145.76211786908
-127435,modify,true,-16.92443289112,145.7622101692
-127438,modify,true,-16.91523080709,145.76357544572
-127439,modify,true,-16.91520873037,145.76380619603
-127441,modify,true,-16.91533383175,145.76394080038
-127443,modify,true,-16.9154773303,145.76391387951
-127445,modify,true,-16.91533751121,145.76379081268
-127447,modify,true,-16.91533751121,145.76357544572
-127449,modify,true,-16.91558035482,145.76371005007
-127451,modify,true,-16.91572385318,145.7638523461
-127453,modify,true,-16.91558771372,145.7638523461
-127455,modify,true,-16.91562818762,145.76403310051
-127457,modify,true,-16.91554356036,145.76410617144
-127459,modify,true,-16.9157091354,145.76416385902
-127461,modify,true,-16.9158563131,145.76403694634
-127463,modify,true,-16.91584159534,145.76395618374
-127466,modify,true,-16.91396139146,145.76569065691
-127467,modify,true,-16.91416744211,145.76589064051
-127469,modify,true,-16.91432565943,145.76604062821
-127471,modify,true,-16.91444340246,145.76613292834
-127474,modify,true,-16.91316662253,145.7660790866
-127475,modify,true,-16.91310039164,145.76615600337
-127477,modify,true,-16.91318502,145.76624445765
-127479,modify,true,-16.91327332781,145.76634829529
-127481,modify,true,-16.91339475099,145.7663290661
-127483,modify,true,-16.91338739202,145.76619446175
-127485,modify,true,-16.91328436629,145.76617523256
-127487,modify,true,-16.91336531508,145.76603678237
-127489,modify,true,-16.91328804578,145.76596755728
-127491,modify,true,-16.91319237899,145.76596755728
-127493,modify,true,-16.91317766101,145.76603678237
-127497,modify,true,-16.91351985358,145.7665790456
-127498,modify,true,-16.91360080227,145.76648674548
-127500,modify,true,-16.91365599454,145.76645597877
-127502,modify,true,-16.91370382782,145.76645597877
-127506,modify,true,-16.91394667355,145.76688671269
-127507,modify,true,-16.91399818623,145.7668482543
-127509,modify,true,-16.91402394257,145.76692517107
-127511,modify,true,-16.91397242989,145.7669482461
-127515,modify,true,-16.91415640369,145.76717899641
-127516,modify,true,-16.91427046736,145.76702131703
-127518,modify,true,-16.91436245413,145.76695209194
-127520,modify,true,-16.91439924883,145.76693670859
-127522,modify,true,-16.91441028724,145.76699439616
-127524,modify,true,-16.9143293389,145.76707515877
-127527,modify,true,-16.91559875205,145.76792124325
-127528,modify,true,-16.91568337929,145.76801354337
-127531,modify,true,-16.91336531508,145.76702900871
-127532,modify,true,-16.91334323814,145.76718668809
-127534,modify,true,-16.91328804578,145.76732129244
-127536,modify,true,-16.91338003304,145.76732513828
-127538,modify,true,-16.91334323814,145.76759050113
-127541,modify,true,-16.9126146977,145.7662790702
-127542,modify,true,-16.91141517548,145.76609446995
-127543,modify,true,-16.9115145227,145.76613677417
-127545,modify,true,-16.91148876602,145.76617138672
-127547,modify,true,-16.91138941878,145.76632522026
-127549,modify,true,-16.91146668886,145.76640982871
-127551,modify,true,-16.9113158282,145.76638675368
-127553,modify,true,-16.9111281721,145.76612523666
-127555,modify,true,-16.91102514513,145.76597140312
