lat	long	height	material	screen
-16.924167	145.767126	0	0	0
-16.924067	145.767042	0	0	0
-16.917999	145.760105	0	0	0
-16.929231	145.768673	0	0	0
-16.929224	145.769005	0	0	0
-16.929082	145.768885	0	0	0
-16.928941	145.768765	0	0	0
-16.928880	145.770185	0	0	0
-16.928856	145.769762	0	0	0
-16.928800	145.768645	0	0	0
-16.928658	145.768525	0	0	0
-16.928596	145.769535	0	0	0
-16.928329	145.769300	0	0	0
-16.928227	145.770531	0	0	0
-16.928206	145.769194	0	0	0
-16.927981	145.769000	0	0	0
-16.927930	145.770443	0	0	0
-16.927786	145.770421	0	0	0
-16.927772	145.769128	0	0	0
-16.927728	145.770494	0	0	0
-16.927664	145.770562	0	0	0
-16.927654	145.771430	0	0	0
-16.927595	145.771505	0	0	0
-16.927548	145.770709	0	0	0
-16.927513	145.768785	0	0	0
-16.927449	145.769830	0	0	0
-16.927398	145.768932	0	0	0
-16.927315	145.770066	0	0	0
-16.927259	145.771077	0	0	0
-16.927143	145.771224	0	0	0
-16.927085	145.771297	0	0	0
-16.926692	145.770859	0	0	0
-16.926682	145.768928	0	0	0
-16.926396	145.770200	0	0	0
-16.926284	145.765986	0	0	0
-16.926274	145.769407	0	0	0
-16.926228	145.766057	0	0	0
-16.926190	145.767158	0	0	0
-16.926155	145.766113	0	0	0
-16.926104	145.768803	0	0	0
-16.926089	145.769710	0	0	0
-16.926074	145.767305	0	0	0
-16.926042	145.768629	0	0	0
-16.925923	145.766137	0	0	0
-16.925923	145.766137	0	0	0
-16.925913	145.769882	0	0	0
-16.925819	145.768762	0	0	0
-16.925819	145.768762	0	0	0
-16.925808	145.766283	0	0	0
-16.925808	145.766283	0	0	0
-16.925808	145.766283	0	0	0
-16.925808	145.766283	0	0	0
-16.925808	145.766283	0	0	0
-16.925743	145.768860	0	0	0
-16.925743	145.768860	0	0	0
-16.925743	145.768860	0	0	0
-16.925743	145.768860	0	0	0
-16.925743	145.768860	0	0	0
-16.925709	145.769757	0	0	0
-16.925693	145.766429	0	0	0
-16.925665	145.768958	0	0	0
-16.925651	145.769858	0	0	0
-16.925636	145.766502	0	0	0
-16.925636	145.766502	0	0	0
-16.925597	145.767057	0	0	0
-16.925588	145.769056	0	0	0
-16.925570	145.769951	0	0	0
-16.925534	145.767697	0	0	0
-16.925526	145.766996	0	0	0
-16.925488	145.764892	0	0	0
-16.925488	145.764892	0	0	0
-16.925480	145.770093	0	0	0
-16.925434	145.769251	0	0	0
-16.925425	145.765511	0	0	0
-16.925414	145.768348	0	0	0
-16.925361	145.765592	0	0	0
-16.925356	145.769349	0	0	0
-16.925356	145.769349	0	0	0
-16.925286	145.765688	0	0	0
-16.925279	145.769447	0	0	0
-16.925277	145.768430	0	0	0
-16.925246	145.769978	0	0	0
-16.925214	145.765563	0	0	0
-16.925202	145.769545	0	0	0
-16.925200	145.765797	0	0	0
-16.925164	145.769906	0	0	0
-16.925145	145.765866	0	0	0
-16.925144	145.765503	0	0	0
-16.925119	145.769801	0	0	0
-16.925046	145.769742	0	0	0
-16.925038	145.770151	0	0	0
-16.925016	145.767605	0	0	0
-16.925013	145.768548	0	0	0
-16.924975	145.766083	0	0	0
-16.924955	145.768620	0	0	0
-16.924891	145.768704	0	0	0
-16.924817	145.768796	0	0	0
-16.924817	145.768796	0	0	0
-16.924745	145.768887	0	0	0
-16.924745	145.768887	0	0	0
-16.924672	145.768979	0	0	0
-16.924666	145.768048	0	0	0
-16.924510	145.765787	0	0	0
-16.924499	145.768263	0	0	0
-16.924497	145.767568	0	0	0
-16.924451	145.761644	0	0	0
-16.924449	145.766223	0	0	0
-16.924398	145.767479	0	0	0
-16.924374	145.764065	0	0	0
-16.923950	145.763907	0	0	0
-16.923872	145.763840	0	0	0
-16.923872	145.763840	0	0	0
-16.923872	145.763840	0	0	0
-16.923872	145.763840	0	0	0
-16.923854	145.765759	0	0	0
-16.923705	145.761899	0	0	0
-16.923608	145.762713	0	0	0
-16.923500	145.762621	0	0	0
-16.923488	145.761715	0	0	0
-16.923488	145.761715	0	0	0
-16.923365	145.763064	0	0	0
-16.923314	145.764350	0	0	0
-16.923303	145.763974	0	0	0
-16.923282	145.762437	0	0	0
-16.923282	145.762437	0	0	0
