GID	Lat	Long	ReleaseSequence	NoReleaseCups	NoMozziesPerReleaseSite	NoFemales	NoMales	Date
36085	-16.92348	145.76057	1	2	142.40	81.18	61.22	10/1/13
36077	-16.92371	145.76065	2	2	142.40	81.18	61.22	10/1/13
38003	-16.9245	145.76136	3	2	142.40	81.18	61.22	10/1/13
900007	-16.92432	145.76137	4	2	142.40	81.18	61.22	10/1/13
49437	-16.92381	145.76111	5	2	142.40	81.18	61.22	10/1/13
900006	-16.92348	145.76082	6	2	142.40	81.18	61.22	10/1/13
555	-16.923	145.76097	7	2	142.40	81.18	61.22	10/1/13
559	-16.92343	145.76134	8	2	142.40	81.18	61.22	10/1/13
563	-16.92386	145.76171	9	2	142.40	81.18	61.22	10/1/13
566	-16.92418	145.76199	10	2	142.40	81.18	61.22	10/1/13
571	-16.9236	145.76181	11	2	142.40	81.18	61.22	10/1/13
575	-16.92317	145.76144	12	2	142.40	81.18	61.22	10/1/13
567	-16.92274	145.76108	13	2	142.40	81.18	61.22	10/1/13
596	-16.92279	145.76169	14	2	142.40	81.18	61.22	10/1/13
600	-16.92322	145.76206	15	2	142.40	81.18	61.22	10/1/13
583	-16.92329	145.76244	16	2	142.40	81.18	61.22	10/1/13
586	-16.92296	145.76217	17	2	142.40	81.18	61.22	10/1/13
590	-16.92253	145.7618	18	2	142.40	81.18	61.22	10/1/13
27703	-16.92186	145.76114	19	2	142.40	81.18	61.22	10/1/13
27168	-16.92144	145.76078	20	2	142.40	81.18	61.22	10/1/13
26625	-16.92089	145.76031	21	2	142.40	81.18	61.22	10/1/13
26194	-16.92066	145.76012	22	2	142.40	81.18	61.22	10/1/13
18689	-16.91548	145.75899	23	2	142.40	81.18	61.22	10/1/13
15408	-16.91579	145.75853	24	2	142.40	81.18	61.22	10/1/13
13843	-16.91631	145.75805	25	2	142.40	81.18	61.22	10/1/13
20040	-16.91655	145.75782	26	2	142.40	81.18	61.22	10/1/13
20412	-16.91685	145.75804	27	2	142.40	81.18	61.22	10/1/13
20497	-16.91709	145.7581	28	2	142.40	81.18	61.22	10/1/13
442	-16.91744	145.75848	29	2	142.40	81.18	61.22	10/1/13
445	-16.91786	145.75879	30	2	142.40	81.18	61.22	10/1/13
421	-16.91809	145.75884	31	2	142.40	81.18	61.22	10/1/13
501	-16.919	145.75951	32	2	142.40	81.18	61.22	10/1/13
497	-16.91946	145.7599	33	2	142.40	81.18	61.22	10/1/13
459	-16.91978	145.76017	34	2	142.40	81.18	61.22	10/1/13
900014	-16.92032	145.76075	35	2	142.40	81.18	61.22	10/1/13
66093	-16.92098	145.76157	36	2	142.40	81.18	61.22	10/1/13
607	-16.92203	145.76215	37	2	142.40	81.18	61.22	10/1/13
611	-16.92241	145.76259	38	2	142.40	81.18	61.22	10/1/13
617	-16.92319	145.76307	39	2	142.40	81.18	61.22	10/1/13
619	-16.92303	145.76327	40	2	142.40	81.18	61.22	10/1/13
620	-16.92269	145.76295	41	2	142.40	81.18	61.22	10/1/13
613	-16.92258	145.76273	42	2	142.40	81.18	61.22	10/1/13
609	-16.92224	145.76244	43	2	142.40	81.18	61.22	10/1/13
14069	-16.92125	145.76209	44	2	142.40	81.18	61.22	10/1/13
670	-16.92185	145.76281	45	2	142.40	81.18	61.22	10/1/13
626	-16.92237	145.7633	46	2	142.40	81.18	61.22	10/1/13
629	-16.92258	145.76347	47	2	142.40	81.18	61.22	10/1/13
635	-16.92267	145.76373	48	2	142.40	81.18	61.22	10/1/13
654	-16.92235	145.76377	49	2	142.40	81.18	61.22	10/1/13
660	-16.92193	145.76341	50	2	142.40	81.18	61.22	10/1/13
664	-16.92165	145.76317	51	2	142.40	81.18	61.22	10/1/13
668	-16.9214	145.76281	52	2	142.40	81.18	61.22	10/1/13
3841	-16.9206	145.76172	53	2	142.40	81.18	61.22	10/1/13
900011	-16.92035	145.76151	54	2	142.40	81.18	61.22	10/1/13
65891	-16.91991	145.76108	55	2	142.40	81.18	61.22	10/1/13
463	-16.91955	145.76046	56	2	142.40	81.18	61.22	10/1/13
466	-16.91938	145.76068	57	2	142.40	81.18	61.22	10/1/13
471	-16.91909	145.76104	58	2	142.40	81.18	61.22	10/1/13
476	-16.91893	145.76144	59	2	142.40	81.18	61.22	10/1/13
21367	-16.91924	145.76197	60	2	142.40	81.18	61.22	10/1/13
900003	-16.91949	145.76176	61	2	142.40	81.18	61.22	10/1/13
900012	-16.91997	145.76198	62	2	142.40	81.18	61.22	10/1/13
64294	-16.92018	145.76224	63	2	142.40	81.18	61.22	10/1/13
671	-16.92151	145.76363	64	2	142.40	81.18	61.22	10/1/13
900000	-16.92229	145.76444	65	2	142.40	81.18	61.22	10/1/13
674	-16.92189	145.76423	66	2	142.40	81.18	61.22	10/1/13
644	-16.92179	145.76402	67	2	142.40	81.18	61.22	10/1/13
900002	-16.92123	145.76354	68	2	142.40	81.18	61.22	10/1/13
653	-16.92095	145.7633	69	2	142.40	81.18	61.22	10/1/13
23704	-16.92018	145.76249	70	2	142.40	81.18	61.22	10/1/13
23626	-16.91981	145.76233	71	2	142.40	81.18	61.22	10/1/13
486	-16.91883	145.76069	72	2	142.40	81.18	61.22	10/1/13
490	-16.91906	145.7604	73	2	142.40	81.18	61.22	10/1/13
494	-16.91929	145.76012	74	2	142.40	81.18	61.22	10/1/13
504	-16.91883	145.75973	75	2	142.40	81.18	61.22	10/1/13
508	-16.9186	145.76001	76	2	142.40	81.18	61.22	10/1/13
511	-16.91832	145.76037	77	2	142.40	81.18	61.22	10/1/13
